Text,Start Time,Duration,Video ID
>> He not going to pass He not going to,85.52,2.959,mBK8o5orBbE
pass Patrick Mahomes. M,86.96,3.519,mBK8o5orBbE
>> he's not going to pass Josh Allen.,88.479,3.921,mBK8o5orBbE
>> He's not He's not going to pass Matthew,90.479,4.561,mBK8o5orBbE
Stafford. Like that those are guys that,92.4,4.24,mBK8o5orBbE
are going to be in that elite,95.04,3.759,mBK8o5orBbE
conversation when it's all said and done,96.64,3.439,mBK8o5orBbE
that are currently playing. He's not,98.799,3.521,mBK8o5orBbE
going to pass Lamar Jackson based on a,100.079,4.08,mBK8o5orBbE
"win in the Super Bowl. So again, like",102.32,4.079,mBK8o5orBbE
the the the overall accomplishment will,104.159,4.401,mBK8o5orBbE
pass all of those guys that haven't won,106.399,2.801,mBK8o5orBbE
"one,",108.56,2.559,mBK8o5orBbE
">> but ultimately when I think about elite,",109.2,3.76,mBK8o5orBbE
I think about the individual and what he,111.119,4.161,mBK8o5orBbE
brings. I think I think too what we have,112.96,5.04,mBK8o5orBbE
to understand especially as people are,115.28,4.96,mBK8o5orBbE
hearing this discussion take place,118.0,3.52,mBK8o5orBbE
you're not hating,120.24,3.12,mBK8o5orBbE
>> you're you're not bitter you're not in a,121.52,4.08,mBK8o5orBbE
position of hey why would you say it,123.36,3.52,mBK8o5orBbE
like that why would you tear another,125.6,4.48,mBK8o5orBbE
person down the reality is this when you,126.88,6.64,mBK8o5orBbE
start to mention elite play or to say,130.08,5.2,mBK8o5orBbE
this person isn't elite that's not a,133.52,4.4,mBK8o5orBbE
shot to say he's a bad player either at,135.28,2.88,mBK8o5orBbE
all,137.92,2.64,mBK8o5orBbE
>> I think when you start to really unpack,138.16,4.719,mBK8o5orBbE
Sam Darnold this isn't even the best,140.56,4.48,mBK8o5orBbE
version of Sam Darnold. I think what Sam,142.879,4.641,mBK8o5orBbE
Darnold has reminded everybody in the,145.04,5.68,mBK8o5orBbE
NFL is maybe we need to get back to,147.52,5.52,mBK8o5orBbE
sitting our players and developing them,150.72,5.12,mBK8o5orBbE
the right way rather than drafting a,153.04,5.199,mBK8o5orBbE
player early and expecting him to play,155.84,5.039,mBK8o5orBbE
early. That's not realistic. That's not,158.239,5.921,mBK8o5orBbE
what what certain players need for them,160.879,5.601,mBK8o5orBbE
to get the best output of their skill,164.16,2.64,mBK8o5orBbE
set.,166.48,1.839,mBK8o5orBbE
>> So maybe Sam Darnold is setting a new,166.8,3.6,mBK8o5orBbE
precedent for quarterbacks to be at the,168.319,4.161,mBK8o5orBbE
elite level. Right. Okay. Patience. Go,170.4,2.88,mBK8o5orBbE
"ahead, RC.",172.48,4.16,mBK8o5orBbE
">> First off, I'm not f to be plonic",173.28,4.0,mBK8o5orBbE
>> with y'all.,176.64,2.16,mBK8o5orBbE
">> Oh, platonically",177.28,4.48,mBK8o5orBbE
">> right now. You feel me? Um, like, let's",178.8,4.32,mBK8o5orBbE
keep it real.,181.76,3.36,mBK8o5orBbE
>> Sam Darnold is playing at an extremely,183.12,3.68,mBK8o5orBbE
high level. Sam Darnold has been a,185.12,3.68,mBK8o5orBbE
two-time Pro Bowler for the Minnesota,186.8,3.519,mBK8o5orBbE
Vikings last year and now for the,188.8,3.76,mBK8o5orBbE
Seattle Seahawks. Sam Darnold is nowhere,190.319,5.761,mBK8o5orBbE
"near the elite conversation, but you",192.56,5.92,mBK8o5orBbE
don't have to be elite to be good enough,196.08,4.64,mBK8o5orBbE
for the team and the organization that,198.48,4.96,mBK8o5orBbE
you play for to win Super Bowls. Eli,200.72,5.28,mBK8o5orBbE
Manning was never an elite quarterback.,203.44,4.96,mBK8o5orBbE
Eli Manning won two Super Bowls because,206.0,5.12,mBK8o5orBbE
he was in a great situation. He had the,208.4,4.399,mBK8o5orBbE
right support system. He had an,211.12,4.0,mBK8o5orBbE
excellent head coach. He had a top tier,212.799,4.641,mBK8o5orBbE
defense. That's exactly what's happening,215.12,4.16,mBK8o5orBbE
for Sam Darnold. We had this,217.44,4.24,mBK8o5orBbE
conversation last year. Sam Donald may,219.28,5.679,mBK8o5orBbE
go out and have a crazy Super Bowl. You,221.68,5.919,mBK8o5orBbE
know who had two phenomenal Super Bowls,224.959,4.961,mBK8o5orBbE
that nobody ever says is elite? Jaylen,227.599,3.36,mBK8o5orBbE
Herz.,229.92,2.72,mBK8o5orBbE
>> Jaylen Herz didn't just have a,230.959,3.92,mBK8o5orBbE
phenomenal Super Bowl and play well,232.64,4.08,mBK8o5orBbE
against a team. He had a phenomenal,234.879,4.08,mBK8o5orBbE
"Super Bowl, outplayed the best player in",236.72,3.84,mBK8o5orBbE
the world and we were still having,238.959,3.441,mBK8o5orBbE
conversations in the offseason. If he,240.56,3.2,mBK8o5orBbE
"was even top 10,",242.4,3.68,mBK8o5orBbE
>> he's been an allp pro. He was a sec He,243.76,4.559,mBK8o5orBbE
was a second team allpro. He was a Super,246.08,4.32,mBK8o5orBbE
Bowl MVP and still nobody has that,248.319,3.681,mBK8o5orBbE
conversation. We don't have to talk,250.4,3.68,mBK8o5orBbE
about a player being elite to respect,252.0,4.959,mBK8o5orBbE
him. I respect Sam Darnold. I know Sam,254.08,5.04,mBK8o5orBbE
Darnold is good enough to win with. I,256.959,3.84,mBK8o5orBbE
know Sam Darnold going to show up every,259.12,3.6,mBK8o5orBbE
day and give you the best he possibly,260.799,2.241,mBK8o5orBbE
can.,262.72,2.64,mBK8o5orBbE
>> Here's the deal. Nothing y'all said was,263.04,3.439,mBK8o5orBbE
"wrong,",265.36,2.559,mBK8o5orBbE
>> but it doesn't mean that it doesn't,266.479,3.361,mBK8o5orBbE
"provoke a conversation. Obviously, you",267.919,4.481,mBK8o5orBbE
respect Sam Donald. All right? You,269.84,4.799,mBK8o5orBbE
"respect what he's done, etc. You get",272.4,3.68,mBK8o5orBbE
that part. Here's where it gets,274.639,3.601,mBK8o5orBbE
interesting. I'mma challenge y'all as,276.08,4.08,mBK8o5orBbE
former football players to make up your,278.24,3.92,mBK8o5orBbE
mind because when you brought up Jaylen,280.16,5.599,mBK8o5orBbE
"Herz, Jaylen Herz has spent even though",282.16,5.52,mBK8o5orBbE
we all respect him and we know he's,285.759,3.281,mBK8o5orBbE
"Super Bowl champion, Super Bowl MVP, two",287.68,2.799,mBK8o5orBbE
"Super Bowls, he would have been MVP had",289.04,2.879,mBK8o5orBbE
"they beat Ken City first go round, all",290.479,2.72,mBK8o5orBbE
"of this other stuff,",291.919,3.681,mBK8o5orBbE
>> there have been too many instances,293.199,4.401,mBK8o5orBbE
during the regular season when he didn't,295.6,3.76,mBK8o5orBbE
"appear elite, when his numbers didn't",297.6,2.96,mBK8o5orBbE
"appear elite, when his performance",299.36,3.2,mBK8o5orBbE
"didn't appear elite, right? But we're",300.56,3.28,mBK8o5orBbE
looking at what he did in the Super,302.56,4.16,mBK8o5orBbE
Bowls and we like he that do Sam,303.84,6.079,mBK8o5orBbE
Donald's the opposite. The brother 28,306.72,6.16,mBK8o5orBbE
and4 over the last two seasons 28 and,309.919,6.72,mBK8o5orBbE
six over the last two regular seasons he,312.88,5.84,mBK8o5orBbE
performed very poorly in the season,316.639,4.481,mBK8o5orBbE
finale against Detroit last year and,318.72,3.84,mBK8o5orBbE
then the playoff game when he was sacked,321.12,4.4,mBK8o5orBbE
nine times by the Rams last year. This,322.56,5.199,mBK8o5orBbE
year he comes out plays lights out. They,325.52,5.44,mBK8o5orBbE
blow out San Francisco 41 to6 NFC,327.759,5.121,mBK8o5orBbE
"Championship game. He throws 346 yards,",330.96,5.12,mBK8o5orBbE
"three touchdowns, outdus the league MVP,",332.88,5.52,mBK8o5orBbE
Matthew Stafford. And if he wins the,336.08,7.04,mBK8o5orBbE
"Super Bowl, that would be put on top of",338.4,6.96,mBK8o5orBbE
what he has done over the last two,343.12,4.96,mBK8o5orBbE
"years. So, as [music] a pundit and a",345.36,5.44,mBK8o5orBbE
"commentator who didn't play, I'm looking",348.08,4.72,mBK8o5orBbE
at pundits and commentators who did,350.8,4.399,mBK8o5orBbE
"play. And I'm saying to y'all, I'm",352.8,4.88,mBK8o5orBbE
"asking y'all,",355.199,4.801,mBK8o5orBbE
what's the standard when we're talking,357.68,5.68,mBK8o5orBbE
about elite? Because usually y'all would,360.0,5.68,mBK8o5orBbE
lean to a body of work that obviously,363.36,4.24,mBK8o5orBbE
includes the regular season. And now,365.68,3.6,mBK8o5orBbE
"with Sam Darnold, we're not necessarily",367.6,3.12,mBK8o5orBbE
">> Okay. Well, here here is all I'm going",369.28,3.44,mBK8o5orBbE
to say because I love that you used,370.72,4.16,mBK8o5orBbE
Jaylen Herz and you used Sam Darnold's,372.72,4.24,mBK8o5orBbE
record for his team in the last two,374.88,3.84,mBK8o5orBbE
"years. Jaylen Herz in the last four,",376.96,6.32,mBK8o5orBbE
"11-6, 14-3, 11-6, 14-3, two Super Bowl",378.72,7.28,mBK8o5orBbE
"appearances and phenomenal play. So, if",383.28,5.039,mBK8o5orBbE
"we are going to use him as the standard,",386.0,4.08,mBK8o5orBbE
we also have to look at regular season,388.319,4.481,mBK8o5orBbE
"play and say that until week 16, we were",390.08,4.88,mBK8o5orBbE
questioning Sam Darnold still.,392.8,3.6,mBK8o5orBbE
>> We were having the conversation.,394.96,4.0,mBK8o5orBbE
">> But were we right to do it? No, he did.",396.4,4.56,mBK8o5orBbE
>> Exactly. But I'm saying just because he,398.96,4.72,mBK8o5orBbE
goes on this run and I hate being this,400.96,5.04,mBK8o5orBbE
person in this. Just because he goes on,403.68,4.72,mBK8o5orBbE
"this run, we can't forget that he led",406.0,4.96,mBK8o5orBbE
the league in turnovers with 20.,408.4,5.359,mBK8o5orBbE
>> That's not elite level play.,410.96,6.079,mBK8o5orBbE
">> RC, listen. What What your damn eyes",413.759,4.321,mBK8o5orBbE
telling you?,417.039,3.041,mBK8o5orBbE
>> Like if that's why I said like some,418.08,4.08,mBK8o5orBbE
people have this this definition of,420.08,4.0,mBK8o5orBbE
elite. I don't think Jaylen Herz is,422.16,2.4,mBK8o5orBbE
elite.,424.08,2.239,mBK8o5orBbE
>> I AGREE WITH THAT. LIKE I I DON'T I,424.56,4.24,mBK8o5orBbE
THINK he's a really good quarterback and,426.319,4.561,mBK8o5orBbE
you can win Super Bowls and they can win,428.8,5.679,mBK8o5orBbE
MVPs with that. Your body of work over a,430.88,6.8,mBK8o5orBbE
period of time that separates you from,434.479,5.44,mBK8o5orBbE
everybody else playing the position. Can,437.68,3.76,mBK8o5orBbE
we say that about Mahomes?,439.919,1.921,mBK8o5orBbE
>> Yes.,441.44,2.08,mBK8o5orBbE
>> Can we say that about Lamar Jackson?,441.84,2.079,mBK8o5orBbE
>> Yes.,443.52,2.079,mBK8o5orBbE
>> Can we say that about Josh Allen?,443.919,2.161,mBK8o5orBbE
>> Yes.,445.599,2.641,mBK8o5orBbE
>> Those are the elite guys.,446.08,4.8,mBK8o5orBbE
>> That's it right now in this iteration of,448.24,6.48,mBK8o5orBbE
the NFL. What about Stafford is elite,450.88,6.96,mBK8o5orBbE
for longevity. I'm talking about guys,454.72,6.56,mBK8o5orBbE
that have these attributes that are,457.84,3.759,mBK8o5orBbE
different.,461.28,2.56,mBK8o5orBbE
>> The other three have are generationally,461.599,3.201,mBK8o5orBbE
talented players.,463.84,3.199,mBK8o5orBbE
">> Yeah. So, so but but you have elite",464.8,4.239,mBK8o5orBbE
winners. You have Tom Brady. Elite,467.039,4.081,mBK8o5orBbE
"winner, not elite athlete. So, it's it's",469.039,4.321,mBK8o5orBbE
just Right. Right.,471.12,4.639,mBK8o5orBbE
">> Go ahead. Cam, last word.",473.36,4.88,mBK8o5orBbE
">> Well, mean you the quarterback. But but",475.759,5.44,mBK8o5orBbE
"when I say certain things, it just has a",478.24,6.48,mBK8o5orBbE
different kind of reaction to how people,481.199,5.201,mBK8o5orBbE
receive it. What I would say about,484.72,3.44,mBK8o5orBbE
"Matthew Stafford, Matthew Stafford has",486.4,4.0,mBK8o5orBbE
always been elite. He just didn't have,488.16,6.56,mBK8o5orBbE
"the winning resume back that now an MVP,",490.4,7.28,mBK8o5orBbE
"now Super Bowl winner, now he's now",494.72,4.4,mBK8o5orBbE
propelled himself in.,497.68,2.959,mBK8o5orBbE
>> He's elite. Matthew Stafford's elite,499.12,2.24,mBK8o5orBbE
"quarterback,",500.639,4.881,mBK8o5orBbE
">> but not just elite, an all-time great",501.36,5.6,mBK8o5orBbE
that we have to start.,505.52,2.64,mBK8o5orBbE
>> He's also had trouble with turning the,506.96,4.799,mBK8o5orBbE
"ball over sometimes. So, you got to",508.16,5.52,mBK8o5orBbE
that's why I said longevity has created,511.759,2.481,mBK8o5orBbE
that for him,513.68,2.0,mBK8o5orBbE
>> for sure because even even when you look,514.24,3.279,mBK8o5orBbE
"at Matthew Stafford, the the one thing",515.68,4.88,mBK8o5orBbE
that sticks out is he's always had elite,517.519,4.96,mBK8o5orBbE
"receivers, too. He played with the",520.56,4.16,mBK8o5orBbE
greatest receiver in Megatron. He's had,522.479,4.881,mBK8o5orBbE
"a Devonte Smith, I mean a Devonte Adams,",524.72,5.2,mBK8o5orBbE
"a Puka Noopa, a Cooper Cup. These guys",527.36,5.36,mBK8o5orBbE
"have always been at his disposal. So, at",529.92,5.12,mBK8o5orBbE
"the same time, he still held his own",532.72,3.84,mBK8o5orBbE
with being able to distribute the,535.04,2.88,mBK8o5orBbE
football at a high level.,536.56,2.8,mBK8o5orBbE
>> What a great time it has been here in,537.92,3.12,mBK8o5orBbE
"San Francisco. And moments ago, look at",539.36,4.0,mBK8o5orBbE
Cam Newton throwing passes to fans here,541.04,6.0,mBK8o5orBbE
"in Beerman Park in San Fran. I got you,",543.36,4.96,mBK8o5orBbE
>> Cam. That thing look good coming out,547.04,2.479,mBK8o5orBbE
"your hand, man.",548.32,3.68,mBK8o5orBbE
">> Oh my god, it's sniping. Sniping.",549.519,4.32,mBK8o5orBbE
">> Oh no, he's sniping.",552.0,2.959,mBK8o5orBbE
>> Uhoh.,553.839,2.961,mBK8o5orBbE
">> Well, we'll watch one more here. Look at",554.959,3.841,mBK8o5orBbE
"Cam. Oh, almost hit the light. didn't",556.8,5.4,mBK8o5orBbE
though. And the,558.8,3.4,mBK8o5orBbE
">> and the slide. All right, quick",562.64,2.879,mBK8o5orBbE
predictions. We only got 20 seconds.,564.16,2.64,mBK8o5orBbE
We'll go down the line. Who wins on,565.519,2.0,mBK8o5orBbE
"Sunday? Marcus,",566.8,2.32,mBK8o5orBbE
>> I'm taking the Seattle Seahawks. I think,567.519,3.281,mBK8o5orBbE
they've been more consistent.,569.12,2.24,mBK8o5orBbE
>> Seattle.,570.8,1.44,mBK8o5orBbE
>> Seattle.,571.36,2.72,mBK8o5orBbE
>> 24-10. [screaming],572.24,2.4,mBK8o5orBbE
>> WE GOT,574.08,2.08,mBK8o5orBbE
>> Seattle Seahawks.,574.64,2.0,mBK8o5orBbE
>> Seattle.,576.16,0.799,mBK8o5orBbE
>> Damn.,576.64,2.879,mBK8o5orBbE
">> Oh, I will take about A FIELD DAY.",576.959,5.201,mBK8o5orBbE
>> I WILL take the Patriots. I'll be right,579.519,4.721,mBK8o5orBbE
on Monday. THANKS FOR BEING WITH US ALL,582.16,4.48,mBK8o5orBbE
week here in Sanford.,584.24,5.266,mBK8o5orBbE
Heat. Heat.,586.64,4.886,mBK8o5orBbE
[music],589.506,2.02,mBK8o5orBbE
>> [music],596.711,2.02,mBK8o5orBbE
